gene_id	adipose_tpm	other_tissues_median_tpm	fc	log2_fc	zscore	pval
ENSG00000028137.12	107.45	19.98	5.37787787787788	2.42703699452273	3.15776541049849	0.000794917197366019
ENSG00000024422.7	353.15	66.4175	5.31712274626416	2.41064577155195	3.13329040615782	0.000864291615255808
ENSG00000107562.12	147.95	28.0025	5.28345683421123	2.40148215794193	3.1196075050539	0.000905460824041082
ENSG00000170989.8	188.35	35.67	5.28034763106252	2.40063291236794	3.11833943072249	0.000909366063330586
ENSG00000114019.10	117.5	22.2625	5.27793374508703	2.39997324035074	3.11735442334915	0.000912410227028926
ENSG00000138356.9	96.555	18.3	5.27622950819672	2.39950732105946	3.11665872317493	0.000914565926900091
ENSG00000004799.7	614.1	116.575	5.26785331331761	2.39721517340467	3.1132361400095	0.000925239467312378
ENSG00000159189.7	185.95	35.39	5.254309126872	2.39350108107412	3.10769034113446	0.000942777604171052
ENSG00000042445.9	159.3	30.375	5.24444444444444	2.39078995303217	3.10364214590747	0.00095577192496088
ENSG00000124785.4	108.85	20.9525	5.19508411884023	2.37714710944732	3.0832709596602	0.00102369322312235
ENSG00000099998.13	177.25	34.385	5.15486403955213	2.36593437675912	3.06652836017854	0.00108280131741656
ENSG00000166592.7	78.665	15.3475	5.12559048705001	2.35771821801638	3.05426017730709	0.00112808160667188
ENSG00000116962.10	205.95	40.45	5.09147095179234	2.34808251843828	3.03987236808628	0.00118339212155039
ENSG00000059804.11	148.75	29.4675	5.04793416475778	2.33569309479019	3.0213727602104	0.00125815686470299
ENSG00000172889.11	204.4	40.555	5.04006904204167	2.33344349680632	3.01801371125365	0.00127218696199882
ENSG00000109610.5	369.6	73.45	5.03199455411845	2.33113036085978	3.0145597888445	0.00128676240909276
ENSG00000186642.11	81.965	16.435	4.98722239123821	2.318236537389	2.99530702253306	0.00137084361953033
ENSG00000183722.7	228.65	46.3125	4.93711201079622	2.30366737661377	2.97355268035558	0.0014718693517608
ENSG00000134954.10	92.17	18.72	4.92361111111111	2.2997168157972	2.96765379207214	0.00150041059588313
ENSG00000153071.10	97.82	19.8825	4.91990443857664	2.29863029374937	2.96603142186314	0.00150834833307434
ENSG00000069702.6	94.045	19.1525	4.91032502284297	2.29581852216206	2.96183294796481	0.001529068274011
ENSG00000142173.10	946.05	193	4.90181347150259	2.29331558643686	2.9580956208082	0.00154773042893352
ENSG00000122378.9	270.4	55.4375	4.87756482525366	2.28616104709376	2.94741262407331	0.00160222648773978
ENSG00000176485.6	168.4	34.66	4.85862665897288	2.28054857879359	2.93903221302934	0.00164619426496848
ENSG00000150938.5	134.55	27.765	4.84602917341977	2.27680308993605	2.93343953356853	0.0016761447233713
ENSG00000158869.6	85.93	17.995	4.77521533759378	2.25556579272406	2.90172848050225	0.00185555021310557
